Address,Tickets
0x2eacda37bb9651c2c79a3183b87c37c391ab6897,3.482
0x931d961037370a46ba94cbcd45c7e5b5644e7002,2.476
0x97a3aba3f63885ebe95956907ada72610dc9c09f,36.182
0x294b950bc45d9cdf6ca009ffc0d41b1226445cda,62.757999999999996
0x464cfcf02204296afaf7cc2cb2a1ca6de435e26d,1.002
0xde51fcb05ee5e8ae23fcd54370f862a4bd984618,3.0220000000000002
0x80832b1bbf9c033ea8aed28147bd139091f691c1,2
0x3e75d6b18a8959ca2d55edf62a810b0709254ff1,196.183
0x3d2b12475f8ee1e262a2ccc931dc2d1b3d7a4d72,9
0x5c467658ece6d4d77f5503fba7b7aa234f6adeaf,1.063
0xca529747a6d9cf294e07896feb23a8933a84f21d,28.444
0x71feea5043bffdaf08cf585c3c8a36c7edf81add,0.784
0xd7b171ec5b26c0202f108b9f51fa6770928f3d09,1.571
0x57215b26baf954d3c9740e5b7bad8b0bd6e5d54e,19
0x3d3db1c3647f0826c87f32bc04f1cedba848467d,7.84
0x7c8a0520d0661169a051473025b739fcbc37ae13,1.002
0x4dbeeb58a067ac3416c9447c9a8106eeaffbcd14,42.85
0xabb6b4f97607204f8a1a7e69cc589b316f4d3a5c,1.033
0x17e50429bd0c38c49dc192550065c04fd215ea36,5.6625000000000005
0x96642af170c68782e5eb9a0b0f9e833f9779ebfb,6.071000000000001
0x93b74c48f77f461fee6a75b0166ba63178e0ce7e,3.0029999999999997
0x0355c8abc56d8408dab2fbcb1ff24f187d27bbb2,2
0xfc3c7627e2ce9979bf769f9aef0fb2a44309563c,1.004
0xaeaafaeb02bcc16665325570f7486070b9b833d1,1.132
0xe83b1f24a3354d6d53aef6266dfcaacff7552040,26
0xd3c91eecf56c5e810fe7f549faf87dec644ab3f2,12.128
0x2fc41b57fdc1f7f56c607516bffba0424173b043,0.98
0x742e249d8d1cb9350dfa51ac9b45039af75c8f59,2.5709999999999997
0xc5ae8a734fc64fe127c6369fd1fc99634415de5e,9.383
0xe67e42861e89ceb44d25c9a69cb95ece0a77c11e,3.52
